City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
329,Severo-yeniseyskiy,RU,60.3725,93.0408,-28.08,100,99,2.21,overcast clouds
330,Linxia,CN,35.6003,103.2064,15.78,70,1,2.57,clear sky
331,Mayo,US,38.8876,-76.5119,41.5,49,0,9.22,clear sky
332,Whitehorse,CA,60.7161,-135.0538,-35.19,67,0,0.0,clear sky
333,Chambas,CU,22.1928,-78.9136,82.87,50,57,12.93,broken clouds
334,Kargasok,RU,59.0556,80.8572,2.52,98,100,8.59,overcast clouds
335,Yataity,PY,-26.3667,-56.0667,92.5,26,32,3.38,scattered clouds
336,Havre-saint-pierre,CA,50.2334,-63.5986,35.96,64,100,19.57,overcast clouds
337,La baule-escoublac,FR,47.2922,-2.364,55.22,95,75,21.85,broken clouds
338,Dunedin,NZ,-45.8742,170.5036,51.8,93,88,5.57,overcast clouds
339,Powell,US,40.1578,-83.0752,30.34,73,0,3.44,clear sky
340,Ciudad bolivar,VE,8.1222,-63.5497,86.85,47,100,11.54,moderate rain
341,Kijang,KR,35.2442,129.2139,24.53,54,1,6.55,clear sky
342,Mao,ES,39.8885,4.2658,59.56,94,40,6.91,scattered clouds
343,Beidao,CN,34.5686,105.8933,27.18,42,100,3.71,overcast clouds
344,Beloha,MG,-25.1667,45.05,73.47,88,100,8.23,light rain
345,Gat,IL,31.61,34.7642,64.4,54,0,2.66,clear sky
